% Device,CC1747002
% File name,CC1747002_20240418_061044
% Cast time (UTC),2024-04-18 06:10:44
% Cast time (local),2024-04-18 06:10:44
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,60
% Default altitude,10
% Start latitude,59.9114987
% Start longitude,10.6422242
% Start altitude,41.159999847412109
% Start GPS horizontal error(Meter),3.0799999237060547
% Start GPS vertical error(Meter),5.03000020980835
% Start GPS number of satellites,4
% End latitude,59.9114793
% End longitude,10.6423014
% End altitude,28.3799991607666
% End GPS horizontal error(Meter),6.0199999809265137
% End GPS vertical error(Meter),10.079999923706055
% End GPS number of satellites,4
% Cast duration (Seconds),48.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15230086772532522,3.5903595491053792,4165.1512346353884,7284.1882724166717,3.8307447101258183,1424.7770557813137,1003.0470337190533
0.44999999999999996,0.45685253363360867,3.8754684860197419,4524.9964104173641,7835.3644939270389,4.147876584098519,1426.496528812605,1003.2988908043375
0.74999999999999989,0.76069199355412276,4.8946878499125406,10420.77731416373,17429.145550008172,9.8359706468657659,1438.3479737343016,1007.7862245172295
1.05,1.0628959009667285,5.5100622418286864,18513.61687263909,30340.182078123216,17.998627720754879,1451.3227129516167,1014.1936394071551
1.35,1.3637400818366403,5.7664770490598753,21912.191732720865,35610.49855948722,21.468793346149933,1456.7681079457047,1016.9085670039798
1.65,1.6641585372508088,5.8866641610962027,22185.182162429825,35913.852733849992,21.684152858977352,1457.5411561511442,1017.0686877187424
1.9500000000000002,1.9645395619432708,5.8881215505060993,22295.884938984753,36091.357809713481,21.8015031667452,1457.6994665659458,1017.162399710014
2.25,2.2648979662872293,5.9066475623689181,22378.581196993655,36203.507921449884,21.877904003811832,1457.8767936503637,1017.2222712809236
2.55,2.5652054893228557,5.887764778095022,22701.590373579082,36748.5160170583,22.235998107895373,1458.2536433895805,1017.5075104858427
2.85,2.8654514984509141,5.827633823819836,22812.491145344466,37000.068308385307,22.39459706576163,1458.2096746865143,1017.6394972442603
3.15,3.1656714367791503,5.8001094771576547,22844.17153971607,37084.562242640786,22.44680941869332,1458.1664985667912,1017.6846189852657
3.4499999999999997,3.4658814485146947,5.8114466552061517,22877.479861593176,37124.96871309288,22.474993343922129,1458.2536280161432,1017.7071816823318
3.836103959517045,3.8522507010792477,5.8409974262221187,22901.9529352987,37129.073062706208,22.481518132774838,1458.390078777072,1017.7113732030136
